datetaime,price,market_caps,total_volumes
2024-09-20 19:17:34,5.6,14184802607.439095,368541021.5514742
2024-09-20 20:13:05,5.593,14178269948.99223,364806110.35976774
2024-09-20 21:05:00,5.595,14179751436.51748,365258426.5045357
2024-09-20 22:23:12,5.592,14179555331.832083,375069803.33875316
2024-09-20 23:01:25,5.574,14117903084.033865,375089168.1904409
2024-09-21 00:13:09,5.567,14144974176.505428,376329555.37880987
2024-09-21 01:27:24,5.545,14017181011.610271,371850341.1977007
2024-09-21 02:05:59,5.497,13900262340.06653,375144464.02765524
2024-09-21 03:26:50,5.508,13963573951.099312,371886777.7382168
2024-09-21 04:25:59,5.484,13899248061.682049,343639453.48750573
2024-09-21 05:09:21,5.467,13852105113.376595,341344234.85578877
2024-09-21 06:29:18,5.51,13942844143.64553,339279310.5442932
2024-09-21 07:04:39,5.509,13938959585.27299,340482591.7020202
2024-09-21 08:24:14,5.533,14015811797.572735,323993273.96557975
2024-09-21 09:11:35,5.546,14047018125.858437,315850909.53793216
2024-09-21 10:23:10,5.564,14107928101.872816,316341758.70112157
2024-09-21 11:28:46,5.573,14113241778.488064,308989859.8599649
2024-09-21 12:24:16,5.582,14131770297.55689,291387710.0649641
2024-09-21 13:01:47,5.594,14150993170.27352,284979693.280842
2024-09-21 14:24:53,5.59,14158202323.008856,271908238.22002685
2024-09-21 15:13:13,5.588,14152008418.273746,252366101.17608598
2024-09-21 16:09:56,5.627,14228178579.316181,249755203.4414257
2024-09-21 17:24:42,5.679,14382824807.130407,234536240.19276437
2024-09-21 18:23:27,5.66,14335755287.458742,244104948.27775836
2024-09-21 19:29:03,5.631,14286419462.361649,235392976.00813407
2024-09-21 20:08:19,5.628,14244911066.013138,240531641.63145432
2024-09-21 21:08:45,5.641,14294538511.560417,240763423.14331627
2024-09-21 22:19:32,5.65,14305523081.406685,230853105.3353376
2024-09-21 23:07:59,5.662,14339230297.992638,226560942.00459823
2024-09-22 00:08:56,5.683,14395645588.472631,226836512.2044272
2024-09-22 01:22:34,5.663,14330115245.018229,223428739.98560432
2024-09-22 02:13:49,5.66,14336560964.342607,214657433.88494715
2024-09-22 03:02:46,5.66,14331837333.188995,208857194.09440422
2024-09-22 04:11:59,5.681,14389565752.649101,220727816.18708315
2024-09-22 05:28:45,5.659,14322011510.552032,209461869.72820857
2024-09-22 06:22:16,5.67,14354073873.603083,214476854.46799973
2024-09-22 07:23:58,5.651,14308293545.147995,217931766.3486206
2024-09-22 08:17:24,5.645,14323685307.44015,217853510.93134215
2024-09-22 09:09:45,5.662,14340919814.204445,212490762.7747361
2024-09-22 10:23:51,5.601,14187095755.384491,216669996.7845295
2024-09-22 11:08:38,5.56,14086781746.110846,223189280.76304793
2024-09-22 12:18:31,5.569,14103727390.059423,238351191.02835587
2024-09-22 13:07:06,5.569,14086902159.04166,238361783.52031374
2024-09-22 14:02:04,5.547,14058042479.461798,238829132.0251709
2024-09-22 15:13:37,5.525,13994687878.437016,242865485.63367337
2024-09-22 16:10:33,5.575,14124745812.835817,249295333.3136719
2024-09-22 17:09:56,5.585,14149558660.104101,246613416.93599033
2024-09-22 18:06:34,5.602,14183521992.532293,240543257.47541758
2024-09-22 19:17:45,5.575,14123495385.09786,228210628.6423575
2024-09-22 20:13:19,5.597,14151994868.141308,228129588.93066448
2024-09-22 21:25:14,5.605,14178507313.936436,229689494.99507257
2024-09-22 22:18:08,5.553,13999691149.990171,244215611.92571512
2024-09-22 23:07:23,5.613,14235722052.021639,252840819.25992078
2024-09-23 00:09:01,5.629,14251875889.021221,253397563.6687127
2024-09-23 01:09:28,5.637,14275340132.391434,258895038.4573383
2024-09-23 02:25:54,5.641,14286488135.303095,264763334.199195
2024-09-23 03:01:38,5.668,14350979629.792503,264157925.7974864
2024-09-23 04:06:37,5.675,14376457223.599146,269832239.1432757
2024-09-23 05:20:22,5.626,14257010784.552189,274861219.95178074
2024-09-23 06:19:44,5.644,14291232538.483852,277961405.7464998
2024-09-23 07:25:27,5.649,14315643769.354214,289528898.2690482
2024-09-23 08:10:53,5.647,14297591648.92391,287647773.0519174
2024-09-23 09:24:18,5.612,14216027482.335331,302819479.10803837
2024-09-23 10:07:33,5.624,14249245132.243027,306378231.5645034
2024-09-23 11:12:37,5.597,14180378345.690096,295113110.28904504
2024-09-23 12:17:30,5.62,14223263818.7568,281766210.000973
2024-09-23 13:06:35,5.653,14305981102.704403,287535629.81576467
2024-09-23 14:06:17,5.677,14381818712.631147,292982550.0858442
2024-09-23 15:09:52,5.664,14343272367.022911,303277596.77012855
2024-09-23 16:03:02,5.694,14429692663.285461,305823632.1840234
2024-09-23 17:25:45,5.672,14356443452.534023,304697235.17137545
2024-09-23 18:12:02,5.64,14276910052.286667,317164041.2519506
2024-09-23 19:14:09,5.619,14233796859.245047,330265874.6864016
2024-09-23 20:08:49,5.605,14202754306.312395,330451457.85052323
2024-09-23 21:16:59,5.618,14218773628.741632,329404982.0136662
2024-09-23 22:13:24,5.614,14223721099.510439,320561386.9323891
2024-09-23 23:04:16,5.63,14259138426.30394,315567860.5293953
2024-09-24 00:21:54,5.639,14270830466.363474,308097594.08445674
2024-09-24 01:02:48,5.593,14172422618.760426,309726656.425346
2024-09-24 02:27:55,5.595,14165720285.718378,307056102.444067
2024-09-24 03:12:44,5.608,14203779320.466833,303531049.7466337
2024-09-24 04:14:06,5.607,14216334469.847,295144649.80585396
2024-09-24 05:21:52,5.599,14179939516.979523,288468175.80690056
2024-09-24 06:19:31,5.62,14217843764.389275,278375393.12289697
2024-09-24 07:05:33,5.607,14200481606.200912,273655751.4609515
2024-09-24 08:06:41,5.597,14176272878.293428,265950328.15110815
2024-09-24 09:18:02,5.589,14159551420.32096,257402793.17574495
2024-09-24 10:05:52,5.578,14127792946.643847,259637891.92827958
2024-09-24 11:16:57,5.568,14097395390.574926,259185670.2928863
2024-09-24 12:01:53,5.584,14143822947.895206,257886427.22525468
2024-09-24 13:19:43,5.587,14155938922.464594,247299231.02529675
2024-09-24 14:04:55,5.564,14125346526.845856,249032941.54288173
2024-09-24 15:12:30,5.52,13916896533.648458,259861158.6761835
2024-09-24 16:25:47,5.501,13937385156.277985,257680564.05268246
2024-09-24 17:29:29,5.529,14006495826.470604,257435955.19529423
2024-09-24 18:09:42,5.565,14075196987.74621,242990756.68406537
2024-09-24 19:12:09,5.594,14171395784.95512,258368882.40987393
2024-09-24 20:23:02,5.596,14180516167.223017,261001026.49224713
2024-09-24 21:25:38,5.618,14255724436.296083,267471117.29288438
2024-09-24 22:19:45,5.648,14314406504.602499,271062217.1744004
